protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_tuning_best_q,q_selection_mode,q_stable_basin_left,q_stable_basin_right,q_search_boundary_hit,q_refinement_passes,q_preferred_neighbor_radius,q_neighbor_radius_used,q_validation_runs,q_validation_candidates_tested,q_validation_passed,q_validation_selected_rank,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_eligible,n_eligible_ci95,n_completed_eligible,n_completed_eligible_ci95,n_structural_censored,n_structural_censored_ci95,n_censored,n_censored_ci95,raw_completion_ratio,raw_completion_ratio_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,eligible_arrival_rate_pkt_s,eligible_arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,stability_rate_ok,stability_rate_ok_ci95,stability_censor_ok,stability_censor_ok_ci95,stability_slope_ok,stability_slope_ok_ci95,stability_rate_relative_error,stability_rate_relative_error_ci95,stability_allowed_censored,stability_allowed_censored_ci95,stability_slope_limit_pkt_s,stability_slope_limit_pkt_s_ci95,condition_elapsed_s,timeout_exceeded,fixed_M_baseline
sf_cb,fixed_packet,8,8,5,812.5,0.5,0.5,self_stable,0.007,1,0,1,1,0,0,0,1,NaN,1,316.333333333333,48.7633976038272,237,53.7401153701776,237,53.7401153701776,237,53.7401153701776,79.3333333333333,15.178332134387,0,0,0.748440446830117,0.0672438908509771,80.6666666666667,13.6815636966388,175162.605693664,16029.7103388362,131192.619403768,14592.0414558785,43969.9862898958,3949.50182982975,175162.605693664,16029.7103388362,127539,47882.5533227409,526977.3,61730.9967182424,661503.25,28329.7491278904,127539,47882.5533227409,526977.3,61730.9967182424,661503.25,28329.7491278904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,316.333333333333,48.7633976038272,237,53.7401153701776,301.666666666667,51.7114501254226,1581.66666666667,243.816988019136,301.666666666667,51.7114501254226,NaN,NaN,0.0490208333333333,0.00840311064538117,0,0,0,0,0.0490208333333333,0.00840311064538117,0.0119140087549302,0.0292235995932313,1,0,1.86553173316921e+17,2.55573641712209e+16,0.825482326324268,0.0680032658391744,62.3333333333333,10.0395230360821,0,0,0.11508203477972,0.0120483351962761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,2,0,11.85,2.68700576850888,1.1815888,0,0
sb_cb,fixed_packet,8,8,5,812.5,0.5,0.5,self_stable,0.0002,1,0,1,1,0,0,0,1,NaN,1,316.333333333333,48.7633976038272,237,53.7401153701776,237,53.7401153701776,237,53.7401153701776,79.3333333333333,15.178332134387,0,0,0.748440446830117,0.0672438908509771,80.6666666666667,13.6815636966388,175011.426602439,16103.3689518571,130677.551928739,14640.6603973699,44333.8746737001,3960.32336042625,175011.426602439,16103.3689518571,127492.833333333,47846.0587593674,526636.625,61621.0581726415,661425.455,28213.2201234724,127492.833333333,47846.0587593674,526636.625,61621.0581726415,661425.455,28213.2201234724,0,0,4.17606935131734,0.451185358484684,0,0,44148.4977736971,3960.73430422318,0,0,18.7008306517045,1.95785446939486,162.5,0,0,0,316.333333333333,48.7633976038272,237,53.7401153701776,301.666666666667,51.7114501254226,1581.66666666667,243.816988019136,301.666666666667,51.7114501254226,NaN,NaN,0.0490208333333333,0.00840311064538117,82.800716,1.05404258341465,82.7514243333333,1.05249763972245,0.0492916666666667,0.00815711246681669,-16.8081631743636,48.6005351740578,1,0,0.500193135270031,0.065671283709387,0.825482326324268,0.0680032658391744,65.3333333333333,17.4480098702703,0,0,0.11508203477972,0.0120483351962761,48.3333333333333,207.961548604557,NaN,NaN,48.3333333333333,207.961548604557,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,2,0,11.85,2.68700576850888,5.0763015,0,0
unslotted,fixed_packet,8,8,5,812.5,0.948683298050514,0.948683298050514,self_stable,0.0002,1,0,1,1,0,0,0,1,NaN,1,316.333333333333,48.7633976038272,237,53.7401153701776,237,53.7401153701776,237,53.7401153701776,79.3333333333333,15.178332134387,0,0,0.748440446830117,0.0672438908509771,80.6666666666667,13.6815636966388,174963.843610974,16101.4697051937,130635.033724526,14643.4313771605,44328.8098864485,3959.6300799172,174963.843610974,16101.4697051937,127452.033555879,47872.9724627145,526602.736109542,61616.9505850953,661364.454097703,28289.2408289378,127452.033555879,47872.9724627145,526602.736109542,61616.9505850953,661364.454097703,28289.2408289378,0,0,0,0,0.415786743913821,0.117617391415176,44147.1932690529,3959.87195226229,0,0,18.7008306517045,1.95785446939486,162.5,0,0,0,316.333333333333,48.7633976038272,237,53.7401153701776,301.666666666667,51.7114501254226,1581.66666666667,243.816988019136,301.666666666667,51.7114501254226,NaN,NaN,0.0490208333333334,0.00840311064538134,82.7862200783126,1.06032004867194,82.7371992449793,1.05762170047643,0.0490208333333334,0.00840311064538134,-16.8289403112394,48.5805525752669,1,0,0.500241433668589,0.0656727233467771,0.825482326324268,0.0680032658391744,66.6666666666667,22.4031947253764,0,0,0.11508203477972,0.0120483351962761,72.5,311.942322906836,NaN,NaN,72.5,311.942322906836,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,2,0,11.85,2.68700576850888,0.7358664,0,0
s7_clean,fixed_packet,8,8,5,812.5,0.5,0.5,self_stable,0.0002,1,0,1,1,0,0,0,1,NaN,1,316.333333333333,48.7633976038272,237,53.7401153701776,237,53.7401153701776,237,53.7401153701776,79.3333333333333,15.178332134387,0,0,0.748440446830117,0.0672438908509771,80.6666666666667,13.6815636966388,174919.427960851,16099.7186852974,130977.354122574,14659.6074021379,43942.073838277,3954.68804919622,174919.427960851,16099.7186852974,127410.733333333,47878.0780566073,526571.775,61628.3820560686,661326.345,28266.8757443191,127410.733333333,47878.0780566073,526571.775,61628.3820560686,661326.345,28266.8757443191,4.66904792584021,0.0393550449836301,3.91278918251049,0.409643396673387,1.15153151053009,0.632536487738359,43714.2404696582,4060.95487150744,0,0,9.59784170062866,1.00483115536942,162.5,0,0,0,316.333333333333,48.7633976038272,237,53.7401153701776,301.666666666667,51.7114501254226,1581.66666666667,243.816988019136,301.666666666667,51.7114501254226,NaN,NaN,0.0490208333333333,0.00840311064538117,83.1781661666667,1.3679113509323,83.1291453333333,1.36065505855472,0.0490208333333333,0.00840311064538117,-17.1330771330771,48.081562659998,1,0,0.502787190399401,0.0603394495796897,0.825482326324268,0.0680032658391744,63.6666666666667,12.2539603459267,0,0,0.11508203477972,0.0120483351962761,53.4,229.761655768621,26.7,114.880827884311,53.4,229.761655768621,26.6999999999534,114.88082788411,53.3999999999069,229.761655768221,1,0,1,0,1,0,0,0,2,0,11.85,2.68700576850888,47.7266743,0,0
s7_busy,fixed_packet,8,8,5,812.5,0.528840463202608,0.528840463202608,self_stable,0.004,1,0,1,1,0,0,0,1,NaN,1,316.333333333333,48.7633976038272,237,53.7401153701776,237,53.7401153701776,237,53.7401153701776,79.3333333333333,15.178332134387,0,0,0.748440446830117,0.0672438908509771,80.6666666666667,13.6815636966388,175384.774446833,16202.2641145965,131391.968925029,14756.2339820568,43992.8055218037,3957.14279105385,175384.774446833,16202.2641145965,127596.733333333,48213.6403838297,527175.825,62065.4183607002,661465.065,28162.6292853522,127596.733333333,48213.6403838297,527175.825,62065.4183607002,661465.065,28162.6292853522,4.66904792584021,0.0393550449836301,6.51439877325565,0.684531285810231,1.19286665153458,0.122222342463985,43755.9476131629,4063.14204534818,6.3815952902396,2.65673045589496,9.59784170062866,1.00483115536942,162.5,0,0,0,316.333333333333,48.7633976038272,237,53.7401153701776,301.666666666667,51.7114501254226,1581.66666666667,243.816988019136,301.666666666667,51.7114501254226,NaN,NaN,0.0490208333333333,0.00840311064538117,83.3257961666666,1.36489893976895,83.2767753333333,1.3577155111842,0.0490208333333333,0.00840311064538117,-17.1221971221971,47.8959141759061,1,0,0.502349602807324,0.0603790865845707,0.825482326324268,0.0680032658391744,108.333333333333,5.17114501254226,18,4.96827542350066,0.191599963919284,0.0201332731120656,105019.999999998,4869.61627777949,48941.0999999989,2507.28119652746,105019.999999998,4869.61627777949,22045.2999999759,1317.09977095958,47445.8999999484,2865.88717019472,1,0,1,0,1,0,0,0,2,0,11.85,2.68700576850888,83.1639192,0,0
sf_cb,fixed_packet,15,15,5,812.5,0.96548938460563,0.96548938460563,self_stable,0.002,1,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,506.666666666667,22.5404985320661,506.666666666667,22.5404985320661,506.666666666667,22.5404985320661,82.3333333333333,21.1273441862595,0,0,0.860376500607219,0.0281531044368339,82.3333333333333,21.1273441862595,116439.340695933,10973.1727426522,76324.8400155232,10966.1359229634,40114.5006804094,5085.02236324982,116439.340695933,10973.1727426522,85519.5833333333,22297.1091246031,366352.916666667,35942.1066197438,457480.478333333,37024.2031924561,85519.5833333333,22297.1091246031,366352.916666667,35942.1066197438,457480.478333333,37024.2031924561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,589,38.803471516211,506.666666666667,22.5404985320661,592.333333333333,31.0600007521514,2945,194.017357581055,592.333333333333,31.0600007521514,NaN,NaN,0.0962875,0.00504597638430266,0,0,0,0,0.0962875,0.00504597638430266,-0.0939437289384489,0.426284600103523,1,0,2.65584092979474e+17,1.52082773967625e+16,0.942123891435044,0.00799884322095502,185.666666666667,134.839336707234,30.3333333333333,113.738065652391,0.220946226245171,0.224212533983442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,4.66666666666667,1.43421757658315,25.3333333333333,1.1270249266033,1.1460951,0,0
sb_cb,fixed_packet,15,15,5,812.5,0.948683298050514,0.948683298050514,self_stable,0.0009,0.948683298050514,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,506.666666666667,22.5404985320661,506.666666666667,22.5404985320661,506.666666666667,22.5404985320661,82.3333333333333,21.1273441862595,0,0,0.860376500607219,0.0281531044368339,82.3333333333333,21.1273441862595,116843.885845655,8998.3852802594,76338.5837297797,9215.03872928535,40505.3021158754,5078.91964449367,116843.885845655,8998.3852802594,85455.25,22339.0702074633,366520.425,35488.9784195065,461358.618333333,20247.6322800254,85455.25,22339.0702074633,366520.425,35488.9784195065,461358.618333333,20247.6322800254,0,0,6.68223315378344,3.15710817023657,0,0,40246.9841172843,5074.05049657374,62.8336751903004,270.109117363508,26.3020902470604,1.5772348414075,162.5,0,0,0,589,38.803471516211,506.666666666667,22.5404985320661,592.666666666667,31.0600007521514,2945,194.017357581055,592.666666666667,31.0600007521514,NaN,NaN,0.0963206666666667,0.00504875404378019,83.2828886666667,5.36764289864404,83.1857555,5.36389171322198,0.0971331666666667,0.00625741732356518,-1.44438305339095,57.4583335519612,1,0,0.289037372513476,0.0594077819596624,0.941999257968101,0.00747393076336789,383,1095.11035232103,219.666666666667,942.998874597884,0.588419675354064,1.83373627530066,3736.16666666667,15857.5692264185,NaN,NaN,3736.16666666667,15857.5692264185,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,4.66666666666667,1.43421757658315,25.3333333333333,1.1270249266033,10.3236746,0,0
unslotted,fixed_packet,15,15,5,812.5,0.173205080756888,0.173205080756888,self_stable,0.0009,0.173205080756888,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,506.666666666667,22.5404985320661,506.666666666667,22.5404985320661,506.666666666667,22.5404985320661,82.3333333333333,21.1273441862595,0,0,0.860376500607219,0.0281531044368339,82.3333333333333,21.1273441862595,116412.896482621,11162.2399144969,75948.0416861388,11160.1027684321,40464.8547964822,5076.66865330455,116412.896482621,11162.2399144969,85513.3528330171,22420.1658532404,366284.868697856,35959.1033802738,456927.90814968,39336.4065249291,85513.3528330171,22420.1658532404,366284.868697856,35959.1033802738,456927.90814968,39336.4065249291,0,0,0,0,9.17102209649303,1.41169402406224,40260.4934325497,5066.29567895467,6.3882515889342,8.43577767876115,26.3020902470604,1.5772348414075,162.5,0,0,0,589,38.803471516211,506.666666666667,22.5404985320661,592.666666666667,31.0600007521514,2945,194.017357581055,592.666666666667,31.0600007521514,NaN,NaN,0.0963282528365403,0.0050499558681947,83.0459690865963,5.08668512891401,82.9485575004264,5.08520725197818,0.0974115861698737,0.00547641298973836,3.02794835005204,47.9274434269729,1,0,0.289754810681979,0.0623744155104239,0.941999257968101,0.00747393076336789,147,13.1448212154569,16,8.9566858950296,0.193479394318155,0.0280504881681742,285.166666666667,198.382673601263,NaN,NaN,285.166666666667,198.382673601263,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,4.66666666666667,1.43421757658315,25.3333333333333,1.1270249266033,4.103754,0,0
s7_clean,fixed_packet,15,15,5,812.5,0.948683298050514,0.948683298050514,self_stable,0.002,0.948683298050514,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,506.666666666667,22.5404985320661,506.666666666667,22.5404985320661,506.666666666667,22.5404985320661,82.3333333333333,21.1273441862595,0,0,0.860376500607219,0.0281531044368339,82.3333333333333,21.1273441862595,116237.954672684,11143.4593117866,76156.0299790227,11125.8995283294,40081.924693661,5079.61168735037,116237.954672684,11143.4593117866,85349.15,22429.2931128394,366221,35960.0414078007,456658.47,40119.0781106999,85349.15,22429.2931128394,366221,35960.0414078007,456658.47,40119.0781106999,4.45517866319384,0.0584196926923668,5.50320657476957,0.33000605912526,0.0891261028444192,0.0790054118856377,39825.9771823203,5079.3401737193,0,0,13.4990420098759,0.809485450913143,162.5,0,0,0,589,38.803471516211,506.666666666667,22.5404985320661,592.666666666667,31.0600007521514,2945,194.017357581055,592.666666666667,31.0600007521514,NaN,NaN,0.0963470333333334,0.00505383693469132,82.9568118333333,5.03070731377767,82.8604648,5.02733660590801,0.0963470333333334,0.00505383693469132,3.21910321910322,47.6826965036761,1,0,0.290064417202557,0.0621578836628466,0.941999257968101,0.00747393076336789,124.333333333333,3.79458303359676,0,0,0.161859016904987,0.00970606056250767,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4.66666666666667,1.43421757658315,25.3333333333333,1.1270249266033,42.6809067,0,0
s7_busy,fixed_packet,15,15,5,812.5,0.793725393319377,0.793725393319377,self_stable,0.625732474567597,0.793725393319377,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,506.666666666667,22.5404985320661,506.666666666667,22.5404985320661,506.666666666667,22.5404985320661,82.3333333333333,21.1273441862595,0,0,0.860376500607219,0.0281531044368339,82.3333333333333,21.1273441862595,116677.653328144,11301.6695500337,76523.312684903,11192.4715975815,40154.3406432407,5113.24965818083,116677.653328144,11301.6695500337,86207.4,22504.1067791491,366873.95,35444.7383521868,456763.14,39929.4441934737,86207.4,22504.1067791491,366873.95,35444.7383521868,456763.14,39929.4441934737,4.4579284955212,0.0541833554258116,10.0302441512464,2.80905190403745,0.777992202123374,0.602808076630491,39882.0699215131,5103.81716580642,11.1045568787698,6.1453297818435,13.4990420098759,0.809485450913143,162.5,0,0,0,589,38.803471516211,506.666666666667,22.5404985320661,592.666666666667,31.0600007521514,2945,194.017357581055,592.666666666667,31.0600007521514,NaN,NaN,0.0963410333333334,0.0050524568482547,83.2163118333333,4.93847231628212,83.1199708,4.93515797731959,0.0963410333333334,0.0050524568482547,3.05170305170305,47.6208597685999,1,0,0.28961414635284,0.0622421181390313,0.941999257968101,0.00747393076336789,225.666666666667,44.1822823547412,67.3333333333333,34.8960197405405,0.295007180919013,0.0826191736481602,107236.099999998,3640.31062333373,49893.3999999988,2176.00718194964,107236.099999998,3640.31062333373,22917.4999999754,1430.76731717477,49466.1999999469,3473.33802255949,1,0,1,0,1,0,0,0,4.66666666666667,1.43421757658315,25.3333333333333,1.1270249266033,109.3559697,0,0
sf_cb,fixed_packet,25,25,5,812.5,0.692820323027551,0.861773876012753,self_stable,0.002,0.9,0,1,1,0,0,0,1,NaN,1,979.666666666667,86.1366766570841,911.333333333333,69.0363874491039,911.333333333333,69.0363874491039,911.333333333333,69.0363874491039,68.3333333333333,17.4480098702702,0,0,0.930357871258509,0.011899737769782,68.3333333333333,17.4480098702702,75424.8455011483,10117.5715748679,46314.2229942404,7426.35314472806,29110.6225069079,2698.58472485881,75424.8455011483,10117.5715748679,57845.1666666667,7155.247489951,222916.816666667,46293.0634959746,326425.213333333,114454.571323334,57845.1666666667,7155.247489951,222916.816666667,46293.0634959746,326425.213333333,114454.571323334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,979.666666666667,86.1366766570841,911.333333333333,69.0363874491039,996.333333333333,78.9601580083687,4898.33333333333,430.68338328542,996.333333333333,78.9601580083687,NaN,NaN,0.161895833333333,0.0125789114251771,0,0,0,0,0.161895833333333,0.0125789114251771,0.0601955900062549,0.0960369905438743,1,0,3.09225274158386e+17,1.76413556383052e+16,0.959603021166658,0.00738757113611921,310,299.346324885111,30,52.5792848618274,0.215574559815188,0.0497697533845086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,8.66666666666667,1.43421757658315,45.5666666666667,3.4518193724552,2.8484846,0,0
sb_cb,fixed_packet,25,25,5,812.5,0.356359487256136,0.356359487256136,self_stable,0.0006,0.660385449778925,0,1,1,0,0,0,1,NaN,1,979.666666666667,86.1366766570841,911.333333333333,69.0363874491039,911.333333333333,69.0363874491039,911.333333333333,69.0363874491039,68.3333333333333,17.4480098702702,0,0,0.930357871258509,0.011899737769782,68.3333333333333,17.4480098702702,75328.3042977291,10065.2050430653,45887.3557624758,7388.27746112145,29440.9485352533,2680.86954990265,75328.3042977291,10065.2050430653,57711.5,7186.19307344917,222837.4,46072.9890419206,326033.153333333,114874.449778077,57711.5,7186.19307344917,222837.4,46072.9890419206,326033.153333333,114874.449778077,0,0,7.20335325615995,0.439824019901849,0,0,29236.4355016969,2685.20179348969,5.09369439204936,4.48071208639523,29.7159859081562,1.48220957602537,162.5,0,0,0,979.666666666667,86.1366766570841,911.333333333333,69.0363874491039,996.333333333333,76.6602375602373,4898.33333333333,430.68338328542,996.333333333333,76.6602375602373,NaN,NaN,0.161895666666667,0.0124305013943909,81.213773,1.07218558184596,81.0502523333333,1.08494352102097,0.163520666666667,0.0140891522860027,0.265440874916467,16.7536383373339,1,0,0.155667200496497,0.0401336930122945,0.959634279136815,0.0072076607915069,273,141.813588971911,30.6666666666667,47.5459891328499,0.216301308168459,0.0447061008877045,710.5,1847.58358126056,NaN,NaN,710.5,1847.58358126056,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,8.66666666666667,1.43421757658315,45.5666666666667,3.4518193724552,44.4308881,0,0
unslotted,fixed_packet,25,25,5,812.5,0.282842712474619,0.282842712474619,self_stable,0.0008,0.282842712474619,0,1,1,0,0,0,1,NaN,1,979.666666666667,86.1366766570841,911.333333333333,69.0363874491039,911.333333333333,69.0363874491039,911.333333333333,69.0363874491039,68.3333333333333,17.4480098702702,0,0,0.930357871258509,0.011899737769782,68.3333333333333,17.4480098702702,75280.5956348513,10057.2636403336,45844.1468117797,7383.6266345412,29436.4488230716,2676.38125472769,75280.5956348513,10057.2636403336,57791.8961542904,7366.90075778496,222788.882977156,45856.5985588195,326000.656636768,114947.747172461,57791.8961542904,7366.90075778496,222788.882977156,45856.5985588195,326000.656636768,114947.747172461,0,0,0,0,5.96886616491743,1.20464676540424,29234.0577360932,2683.77085096979,4.2062349053235,6.2981615138723,29.7159859081562,1.48220957602537,162.5,0,0,0,979.666666666667,86.1366766570841,911.333333333333,69.0363874491039,996.333333333333,76.6602375602373,4898.33333333333,430.68338328542,996.333333333333,76.6602375602373,NaN,NaN,0.161908320090949,0.0123731703331415,81.1568309714575,1.14527043747816,80.9932976513665,1.15956229615558,0.163533320090949,0.0157740729183486,0.281223760750986,16.0190376352804,1,0,0.155608384528433,0.0401191665036254,0.959634279136815,0.0072076607915069,258,88.8404889598907,25.3333333333333,36.8736195357035,0.210390706503645,0.0371890039891075,497.833333333333,1058.9715707937,NaN,NaN,497.833333333333,1058.9715707937,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,8.66666666666667,1.43421757658315,45.5666666666667,3.4518193724552,6.5872735,0,0
s7_clean,fixed_packet,25,25,5,812.5,0.6,0.6,self_stable,0.6,0.6,0,1,1,0,0,0,1,NaN,1,979.666666666667,86.1366766570841,911.333333333333,69.0363874491039,911.333333333333,69.0363874491039,911.333333333333,69.0363874491039,68.3333333333333,17.4480098702702,0,0,0.930357871258509,0.011899737769782,68.3333333333333,17.4480098702702,75158.4822155429,10125.8944698191,46084.5636655088,7441.57516488164,29073.9185500341,2686.80415958429,75158.4822155429,10125.8944698191,57621.9,7159.83209437605,222681.216666666,45944.1271259523,325933.473333333,114920.738175789,57621.9,7159.83209437605,222681.216666666,45944.1271259523,325933.473333333,114920.738175789,4.37233908129073,0.104640017036004,6.34023670146166,0.259892928186604,1.07080814084687,0.304556870041122,28815.934096743,2687.84765163358,0.301069367491647,0.937465170551984,15.2511583060937,0.760715560864717,162.5,0,0,0,979.666666666667,86.1366766570841,911.333333333333,69.0363874491039,996.666666666667,75.2383487113394,4898.33333333333,430.68338328542,996.666666666667,75.2383487113394,NaN,NaN,0.161943666666667,0.0121062710264431,81.0682046666666,1.27156320135184,80.906261,1.28059080143315,0.161943666666667,0.0121062710264431,0.283036283036272,16.5495565591812,1,0,0.156059494839872,0.0416321821775786,0.959595517387911,0.00719330581345313,226,27.3255148292536,3.33333333333333,10.3422900250845,0.18647755004299,0.00764390965254721,151.3,540.197836029803,71.2,251.107988824095,151.3,540.197836029803,71.2000000000116,251.107988824237,151.300000000027,540.197836030103,1,0,1,0,1,0,0,0,8.66666666666667,1.43421757658315,45.5666666666667,3.4518193724552,49.9062399,0,0
s7_busy,fixed_packet,25,25,5,812.5,0.661825303382485,0.661825303382485,self_stable,0.008,0.963492483998996,0,1,1,0,0,0,1,NaN,1,979.666666666667,86.1366766570841,911.333333333333,69.0363874491039,911.333333333333,69.0363874491039,911.333333333333,69.0363874491039,68.3333333333333,17.4480098702702,0,0,0.930357871258509,0.011899737769782,68.3333333333333,17.4480098702702,75741.2445365731,10010.6675215819,46566.5482415908,7346.36525342263,29174.6962949823,2667.04016120963,75741.2445365731,10010.6675215819,58018.2333333333,6533.94336514037,223121.316666667,45774.4992033468,326523.365,114165.345169388,58018.2333333333,6533.94336514037,223121.316666667,45774.4992033468,326523.365,114165.345169388,4.37530686992664,0.117047691460499,11.6975559453051,2.56741158801083,1.48800231040888,0.113781689764351,28897.7931715205,2674.0562290774,13.4422583362136,5.76877079921199,15.2511583060937,0.760715560864717,162.5,0,0,0,979.666666666667,86.1366766570841,911.333333333333,69.0363874491039,996.333333333333,81.2709232318851,4898.33333333333,430.68338328542,996.333333333333,81.2709232318851,NaN,NaN,0.161903833333333,0.0130214851834821,81.6455665,1.21046658975994,81.4836626666666,1.21870287943536,0.161903833333333,0.0130214851834821,0.544276544276537,17.3601959293995,1,0,0.155502693400021,0.0412416524072893,0.959656807326922,0.00773732703928505,418,83.4685057551137,147.333333333333,72.9479774044997,0.34404576309721,0.0755121055297302,111454.699999997,7916.31810350534,51735.6999999986,4067.78359634126,111454.699999997,7916.31810350534,24563.9999999735,653.240039518612,53257.5999999429,1303.67104530069,1,0,1,0,1,0,0,0,8.66666666666667,1.43421757658315,45.5666666666667,3.4518193724552,124.3460093,0,0
sf_cb,fixed_packet,30,30,5,812.5,0.660385449778925,0.762547434397549,self_stable,0.002,0.8,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1143.33333333333,114.225323380696,1143.33333333333,114.225323380696,1143.33333333333,114.225323380696,81.3333333333333,23.6102010885463,0,0,0.933505224138459,0.0205430543857902,81.3333333333333,23.6102010885463,62564.7168028177,5220.76943504577,38961.356063331,3639.26819889114,23603.3607394867,1808.2057570796,62564.7168028177,5220.76943504577,45262.1666666667,3742.65259715124,185670.108333333,20832.1502088371,260816.448333333,24641.7645288725,45262.1666666667,3742.65259715124,185670.108333333,20832.1502088371,260816.448333333,24641.7645288725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1224.66666666667,108.461370754149,1143.33333333333,114.225323380696,1220.66666666667,128.272302060045,6123.33333333333,542.306853770744,1220.66666666667,128.272302060045,NaN,NaN,0.198391666666667,0.0209558940017285,0,0,0,0,0.198391666666667,0.0209558940017285,0.0206573915976249,0.253154902704984,1,0,3.2194368570286e+17,2.27439496246057e+16,0.96589927542234,0.0394445182270071,310.666666666667,42.2546883725189,19.3333333333333,7.58916606719352,0.202629786173111,0.000646987073975637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,10.6666666666667,1.43421757658315,57.1666666666667,5.71126616903478,2.8462507,0,0
