protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_tuning_best_q,q_selection_mode,q_stable_basin_left,q_stable_basin_right,q_search_boundary_hit,q_refinement_passes,q_preferred_neighbor_radius,q_neighbor_radius_used,q_validation_runs,q_validation_candidates_tested,q_validation_passed,q_validation_selected_rank,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_eligible,n_eligible_ci95,n_completed_eligible,n_completed_eligible_ci95,n_structural_censored,n_structural_censored_ci95,n_censored,n_censored_ci95,raw_completion_ratio,raw_completion_ratio_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,eligible_arrival_rate_pkt_s,eligible_arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,stability_rate_ok,stability_rate_ok_ci95,stability_censor_ok,stability_censor_ok_ci95,stability_slope_ok,stability_slope_ok_ci95,stability_rate_relative_error,stability_rate_relative_error_ci95,stability_allowed_censored,stability_allowed_censored_ci95,stability_slope_limit_pkt_s,stability_slope_limit_pkt_s_ci95,condition_elapsed_s,timeout_exceeded,fixed_M_baseline
sf_cf,fixed_packet,15,15,1,162.5,0.5,0.591607978309962,self_stable,0.005,0.591607978309962,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,589,38.803471516211,589,38.803471516211,589,38.803471516211,0,0,0,0,1,0,0,0,499.584298143803,41.6140224420162,3.74794231737632,4.8868522888362,495.836355826427,45.7236373039713,499.584298143803,41.6140224420162,381.833333333333,61.1311583279633,1213.26666666667,130.719372928,2083.68,223.970094765228,381.833333333333,61.1311583279633,1213.26666666667,130.719372928,2083.68,223.970094765228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,589,38.803471516211,589,38.803471516211,588.333333333333,37.3723087150026,589,38.803471516211,588.333333333333,37.3723087150026,NaN,NaN,0.0956375,0.00615396235533987,0,0,0,0,0.0956375,0.00615396235533987,0.082323604288481,0.235294961768381,1,0,1.32589801089471e+15,190749865226960,0.952455280259508,0.0319545283902524,887.666666666667,79.2332198885235,165.666666666667,43.4073004481243,1.28190187339981,0.0926670716708499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.0011148303192833,0.00239837391835334,5,0,29.45,1.94017357581055,2.966611,0,1
sb_cf,fixed_packet,15,15,1,162.5,0.009,0.0153261886478711,self_stable,0.0153261886478711,0.0153261886478711,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,589,38.803471516211,589,38.803471516211,589,38.803471516211,0,0,0,0,1,0,0,0,1583.76161405309,126.162827933466,25.1854952810848,13.9571513717488,1558.57611877201,114.782305556006,1583.76161405309,126.162827933466,1134.5,198.715490472802,4565.3,455.36378694571,6892.57999999999,2137.15168505616,1134.5,198.715490472802,4565.3,455.36378694571,6892.57999999999,2137.15168505616,0,0,44.6873971535377,3.3505056318876,0,0,1300.30924992877,96.3943248235238,51.0794716897024,16.0134460347569,0,0,162.5,0,0,0,589,38.803471516211,589,38.803471516211,588,36.7618810377801,589,38.803471516211,588,36.7618810377801,NaN,NaN,0.09555,0.00597380566863927,0.932757666666667,0.0974679093977548,0.932757666666667,0.0974679093977548,0,0,0.35020435020435,1.00743518570341,1,0,0.00200405156497087,0.00214741819039878,0.95241654435796,0.0315253367561825,967.666666666667,122.715732476121,185.333333333333,64.7942612913851,1.31433521039817,0.0985442832908116,42845.8333333333,19760.7146861496,NaN,NaN,42845.8333333333,19760.7146861496,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00167317761129894,0.0041610424244115,5,0,29.45,1.94017357581055,689.0983852,0,1
sf_cf,fixed_packet,25,25,1,162.5,0.326660066636101,0.421716332650875,self_stable,0.421716332650875,0.421716332650875,0,1,1,0,0,0,1,NaN,1,979.666666666667,86.1366766570841,979.666666666667,86.1366766570841,979.666666666667,86.1366766570841,979.666666666667,86.1366766570841,0,0,0,0,1,0,0,0,785.538528483561,236.39477611399,16.3834042246768,35.2590053586617,769.155124258884,201.762008731828,785.538528483561,236.39477611399,556.416666666667,88.9886933020849,2135.95,1047.80286001783,3842.215,3937.79395774234,556.416666666667,88.9886933020849,2135.95,1047.80286001783,3842.215,3937.79395774234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,979.666666666667,86.1366766570841,979.666666666667,86.1366766570841,977.333333333333,87.5225327112608,979.666666666667,86.1366766570841,977.333333333333,87.5225327112608,NaN,NaN,0.15885,0.0142395759594264,0,0,0,0,0.15885,0.0142395759594264,0.12946081245274,1.70688053398043,1,0,3.46626375780005e+15,1.1084175238065e+15,0.959597533852347,0.0216232570315957,1625.33333333333,370.847178268393,380.333333333333,406.97676981382,1.38775241663127,0.406127615851911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00370921144034853,0.00947411178510748,9.33333333333333,1.43421757658315,48.9833333333333,4.30683383285421,2.4622851,0,1
sb_cf,fixed_packet,25,25,1,162.5,0.0020800838230519,0.0020800838230519,self_stable,0.0008,0.00249804953296681,0,1,1,0,0,0,1,NaN,1,979.666666666667,86.1366766570841,979.666666666667,86.1366766570841,979.666666666667,86.1366766570841,979.666666666667,86.1366766570841,0,0,0,0,1,0,0,0,10329.6638715606,3468.77730635296,2084.63941512373,1560.44772361148,8245.02445643687,1983.98693088742,10329.6638715606,3468.77730635296,6974,1366.3700225274,31967,17998.1343295951,50255.48,31233.9969549226,6974,1366.3700225274,31967,17998.1343295951,50255.48,31233.9969549226,0,0,61.2356473239045,11.8265170738789,0,0,7891.11843587372,1916.03136924569,130.170373239249,56.5237948383917,0,0,162.5,0,0,0,979.666666666667,86.1366766570841,979.666666666667,86.1366766570841,977.666666666667,72.5237754512132,979.666666666667,86.1366766570841,977.666666666667,72.5237754512132,NaN,NaN,0.158870833333333,0.0117851135108221,10.1229098333333,3.75608401339883,10.1229098333333,3.75608401339883,0,0,17.006605006605,61.3846669121011,1,0,0.00619082404781428,0.00934740869782686,0.958183699642134,0.0173272448094389,2116.33333333333,328.47340064117,786,379.545026776043,1.80104845070307,0.347838737467026,153779.166666667,45628.075365657,NaN,NaN,153779.166666667,45628.075365657,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.0060410542344655,0.0126162713518635,9.33333333333333,1.43421757658315,48.9833333333333,4.30683383285421,675.0170651,0,1
sf_cf,fixed_packet,30,30,1,162.5,0.282842712474619,0.3,self_stable,0.008,0.3,0,1,1,0,0,0,1,NaN,1,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,0,0,0,0,1,0,0,0,990.191024613485,187.366421591287,24.5523556086737,22.4799538546735,965.638669004812,165.541888920164,990.191024613485,187.366421591287,657,49.729310004305,2915.54166666667,1236.85740276255,5456.24166666666,4099.65946533703,657,49.729310004305,2915.54166666667,1236.85740276255,5456.24166666666,4099.65946533703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1224.66666666667,108.461370754149,1224.66666666667,108.461370754149,1224.33333333333,107.173581810895,1224.66666666667,108.461370754149,1224.33333333333,107.173581810895,NaN,NaN,0.1989875,0.0175043596523154,0,0,0,0,0.1989875,0.0175043596523154,-0.178288941129023,1.14565087905657,1,0,5.4515442985372e+15,539780168687864,0.969097439218551,0.0339097080020058,2241.33333333333,209.159871514236,666,365.328747865664,1.54719661566179,0.352854496877647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00079874762521506,0.00197629124967186,11.6666666666667,1.43421757658315,61.2333333333333,5.42306853770744,5.3824235,0,1
sb_cf,fixed_packet,30,30,1,162.5,NaN,NaN,no_stable_q,NaN,NaN,0,1,1,0,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,731.8941402,0,1
sf_cf,fixed_packet,45,45,1,162.5,0.0963492483998996,0.1200936955176,self_stable,0.02,0.1200936955176,0,1,1,0,0,0,1,NaN,1,1797.33333333333,18.8095871778349,1797.33333333333,18.8095871778349,1797.33333333333,18.8095871778349,1797.33333333333,18.8095871778349,0,0,0,0,1,0,0,0,3147.4777561644,20.4916910187841,334.719250958016,54.04774912369,2812.75850520639,63.5564251463662,3147.4777561644,20.4916910187841,2202.58333333333,143.254932841685,9170.61666666666,416.645778673008,14319.9666666667,665.157948649658,2202.58333333333,143.254932841685,9170.61666666666,416.645778673008,14319.9666666667,665.157948649658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1797.33333333333,18.8095871778349,1797.33333333333,18.8095871778349,1801.33333333333,24.5079206918534,1797.33333333333,18.8095871778349,1801.33333333333,24.5079206918534,NaN,NaN,0.292716666666667,0.00398253711242618,0,0,0,0,0.292716666666667,0.00398253711242618,-1.78328455290125,9.18712961269988,1,0,2.54773292145963e+16,420861511037498,0.976245192215198,0.0119883666708059,3505.33333333333,76.7406926156775,1173,25.2112442693104,1.65264183876734,0.0158473957731735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00297081811711488,0.00799895078653361,17.3333333333333,1.43421757658315,89.8666666666667,0.94047935889175,5.2757819,0,1
sb_cf,fixed_packet,45,45,1,162.5,NaN,NaN,no_stable_q,NaN,NaN,0,1,1,0,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,656.6284051,0,1
sf_cb,fixed_packet,8,8,5,812.5,0.661825303382485,0.8,self_stable,0.793725393319377,0.8,0,1,1,0,0,0,1,NaN,1,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,0,0,0,0,1,0,0,0,553.24872092461,135.749172208271,1.09931170108161,4.72995649150432,552.149409223528,137.510128155112,553.24872092461,135.749172208271,456.833333333333,12.7476046574023,1051.3,405.15446474048,2128.67499999999,3156.0491365331,456.833333333333,12.7476046574023,1051.3,405.15446474048,2128.67499999999,3156.0491365331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,50.9298719009959,1581.66666666667,243.816988019136,316.333333333333,50.9298719009959,NaN,NaN,0.0514041666666667,0.00827610418391183,0,0,0,0,0.0514041666666667,0.00827610418391183,0.0309793792557531,0.123384316918001,1,0,787028804680945,181171687980515,0.888206993723963,0.0358839550919782,453.333333333333,115.568038444769,53.3333333333333,115.487915772425,1.16895078743331,0.387611655214404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00207618034398826,0.0044851771251322,3,0,15.8166666666667,2.43816988019136,2.5517073,0,0
sb_cb,fixed_packet,8,8,5,812.5,0.528840463202608,0.528840463202608,self_stable,0.0003,0.9,0,1,1,0,0,0,1,NaN,1,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,0,0,0,0,1,0,0,0,406.176033657334,52.6662528424097,0.448496864774248,1.73597633933259,405.727536792559,53.2143768771933,406.176033657334,52.6662528424097,370,0,571.75,189.240308155449,1271.17,1632.02291946575,370,0,571.75,189.240308155449,1271.17,1632.02291946575,0,0,37.2259006721795,1.48052748600195,0,0,33.0404113674098,27.9041051195825,10.46122475297,24.8671919141373,162.5,0,162.5,0,0,0,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,50.9298719009959,1581.66666666667,243.816988019136,316.333333333333,50.9298719009959,NaN,NaN,0.051432,0.00821435014232311,0.128479666666667,0.0206456424186193,0.076831,0.0163202176488807,0.0516486666666667,0.00809789805383554,0.0248917593558028,0.103474306874239,1,0,0.00110719023951562,0.00343740499350747,0.888206993723963,0.0358839550919782,428.333333333333,37.6191743556697,25,58.2052072743165,1.08087109305737,0.193491309249502,522,468.259958664937,NaN,NaN,522,468.259958664937,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00207618034398826,0.0044851771251322,3,0,15.8166666666667,2.43816988019136,122.4494451,0,0
unslotted,fixed_packet,8,8,5,812.5,0.4,0.4,self_stable,0.0003,0.9,0,1,1,0,0,0,1,NaN,1,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,0,0,0,0,1,0,0,0,381.905698330392,67.7223078653655,0.337602012252791,1.45258421958838,381.56809631814,68.1764265746081,381.905698330392,67.7223078653655,339.925300824883,2.76873459286125,578.353013500794,333.400903410873,1077.04964721996,711.764494249632,339.925300824883,2.76873459286125,578.353013500794,333.400903410873,1077.04964721996,711.764494249632,0,0,0,0,20.1322755190278,4.69358713982467,19.4534922080216,27.1450549360473,16.9823285910902,37.7592480930398,162.5,0,162.5,0,0,0,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,50.9298719009959,1581.66666666667,243.816988019136,316.333333333333,50.9298719009959,NaN,NaN,0.051446803724818,0.00818202920872245,0.120801714116413,0.0233044091551602,0.0689215770582614,0.0200670691419634,0.0518801370581513,0.00760320738632086,0.0474053984480126,0.12675895893635,1,0,0.000988341688701213,0.00359715182455557,0.888206993723963,0.0358839550919782,450,109.893266010843,39.3333333333333,83.1475193346738,1.1258926124732,0.27677518963524,797.5,1123.56988493141,NaN,NaN,797.5,1123.56988493141,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00207618034398826,0.0044851771251322,3,0,15.8166666666667,2.43816988019136,8.3951686,0,0
s7_clean,fixed_packet,8,8,5,812.5,0.928317766722556,0.928317766722556,self_stable,0.0002,0.963492483998996,0,1,1,0,0,0,1,NaN,1,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,0,0,0,0,1,0,0,0,299.447539371609,9.08990132108068,0.235791543756077,1.01452912939392,299.211747827853,10.0627717742276,299.447539371609,9.08990132108068,281.899999999907,0,381.049999999983,174.706245760383,546.679999999984,76.4823481898291,281.899999999907,0,381.049999999983,174.706245760383,546.679999999984,76.4823481898291,0.0119960668633922,0.0516149098360314,35.2299563163918,4.59887631402273,0.775975627448136,0.275790536050436,14.1948034237074,15.4024190518527,3.09901639344262,11.0646526738836,83.3179941002949,0.352842908221402,162.5,0,0,0,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.666666666667,50.1976151804104,1581.66666666667,243.816988019136,316.666666666667,50.1976151804104,NaN,NaN,0.0514583333333333,0.00815711246681669,0.0948269999999823,0.0124213666477292,0.043368666666649,0.00431668112923227,0.0514583333333333,0.00815711246681669,0.0185760185760185,0.0752918756422458,1,0,0.00146604631433882,0.00630788817632874,0.887743666473456,0.0348871918823281,404,39.0412886854702,11.3333333333333,40.4642573805096,1.03617518577623,0.135261068059492,409.4,1080.39567205961,204.7,540.197836029803,409.4,1080.39567205961,151.299999999775,540.197836028796,302.59999999955,1080.39567205759,1,0,1,0,1,0,0.000983284169124877,0.00423073031440458,3,0,15.8166666666667,2.43816988019136,22.72616,0,0
s7_busy,fixed_packet,8,8,5,812.5,0.7,0.7,self_stable,0.003,0.9,0,1,1,0,0,0,1,NaN,1,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,0,0,0,0,1,0,0,0,803.5635330528,240.055978130626,3.11625062462678,9.93276921006215,800.447282428173,231.398194040041,803.5635330528,240.055978130626,578.899999999946,118.303390939057,1968.19999999991,571.337200716947,3735.91999999993,3008.2083683788,578.899999999946,118.303390939057,1968.19999999991,571.337200716947,3735.91999999993,3008.2083683788,0.0373254670604357,0.0745454681404543,65.4021954639973,16.797669888878,7.50602060060931,1.37502038473367,404.23683737119,171.185514931168,77.3649035253155,42.110696219407,83.0628347599012,0.926906389859655,162.5,0,0,0,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,50.9298719009959,1581.66666666667,243.816988019136,316.333333333333,50.9298719009959,NaN,NaN,0.0514041666666667,0.00827610418391183,0.255016033333316,0.115253157474722,0.203611866666649,0.107581614545288,0.0514041666666667,0.00827610418391183,-0.0651560651560653,0.605774096331205,1,0,0.00422500551442678,0.0100871429635921,0.888206993723963,0.0358839550919782,768,264.195958094563,295.666666666667,202.077134013644,1.92359398423521,0.494049114378763,71502.6000000004,8928.48985430622,32841.0000000005,4452.77456580095,71502.6000000004,8928.48985430622,26495.2999999714,4046.09630694595,57654.1999999376,8466.00601611666,1,0,1,0,1,0,0.00207618034398826,0.0044851771251322,3,0,15.8166666666667,2.43816988019136,84.631204,0,0
sf_cb,fixed_packet,15,15,5,812.5,0.524148278841779,0.660385449778925,self_stable,0.660385449778925,0.660385449778925,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,589,38.803471516211,589,38.803471516211,589,38.803471516211,0,0,0,0,1,0,0,0,686.218665395264,37.9279269577193,6.24067208725966,17.2944692752521,679.977993308005,20.6758732859439,686.218665395264,37.9279269577193,542,36.6988786246622,1467.825,83.7032081939859,3050.86666666664,2488.76838943638,542,36.6988786246622,1467.825,83.7032081939859,3050.86666666664,2488.76838943638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,589,38.803471516211,589,38.803471516211,588.333333333333,39.6166099442618,2945,194.017357581055,588.333333333333,39.6166099442618,NaN,NaN,0.0956375,0.00629492762325757,0,0,0,0,0.0956375,0.00629492762325757,0.0174299428688662,0.333675097465908,1,0,1.81964265004209e+15,56956836875740.3,0.951910306596561,0.0314196979083245,895.666666666667,147.012548643609,150,77.0082690642602,1.24938518156581,0.134761451301633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00114211845372025,0.00245889515298195,5,0,29.45,1.94017357581055,2.987218,0,0
sb_cb,fixed_packet,15,15,5,812.5,0.6,0.6,self_stable,0.002,0.863081414249492,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,589,38.803471516211,589,38.803471516211,589,38.803471516211,0,0,0,0,1,0,0,0,538.156671113297,131.436904259332,4.31515235746913,6.00221062546832,533.841518755828,129.434120276416,538.156671113297,131.436904259332,370,0,1444.3,640.419145500089,3479.26,2715.70242759513,370,0,1444.3,640.419145500089,3479.26,2715.70242759513,0,0,41.0627059152446,4.06435550760333,0,0,88.1437386369125,52.0986638338985,80.3721080476785,74.0570697948211,161.762966155992,1.04049681415792,162.5,0,0,0,589,38.803471516211,589,38.803471516211,588.666666666667,40.4642573805096,2945,194.017357581055,588.666666666667,40.4642573805096,NaN,NaN,0.0957011666666667,0.00639257936395798,0.316882666666667,0.0603031816572609,0.218635666666667,0.0627639434149327,0.098247,0.00549361494680512,0.260706557410067,0.835934387864479,1,0,0.00153763866597381,0.00274191250066021,0.952188811980908,0.0324680863214691,1115,585.41908430927,336,286.839929750279,1.56929316413508,0.522839520122002,5601.83333333333,8039.83219951114,NaN,NaN,5601.83333333333,8039.83219951114,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00169860148098791,0.000113613291473262,5,0,29.45,1.94017357581055,291.2994247,0,0
unslotted,fixed_packet,15,15,5,812.5,0.1,0.224492409661875,self_stable,0.224492409661875,0.282842712474619,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,589,38.803471516211,589,38.803471516211,589,38.803471516211,0,0,0,0,1,0,0,0,512.359465885735,29.571628822235,4.813291475487,3.90780095443339,507.546174410247,26.3077050589304,512.359465885735,29.571628822235,409.711883867121,9.60361692989312,1054.70736208359,45.4107680747271,1882.94287079358,362.276515376304,409.711883867121,9.60361692989312,1054.70736208359,45.4107680747271,1882.94287079358,362.276515376304,0,0,0,0,107.191625781485,10.0967808677962,50.0891503931505,14.8318888888147,26.101729215243,8.39198245692636,161.663669020369,1.43012568039779,162.5,0,0,0,589,38.803471516211,589,38.803471516211,588.666666666667,40.4642573805096,2945,194.017357581055,588.666666666667,40.4642573805096,NaN,NaN,0.0956583333333333,0.00657544182433281,0.302094640036903,0.00883590178738363,0.204865473370237,0.00884178947177044,0.0972291666666667,0.00559830186720011,-0.0604096788840799,0.616031487485114,1,0,0.00177531549540611,0.00278521626044789,0.952188811980908,0.0324680863214691,851.333333333333,101.038567006822,119,21.5132636487473,1.19725048407585,0.0431210373267946,1885,1185.38082704598,NaN,NaN,1885,1185.38082704598,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0.00169860148098791,0.000113613291473262,5,0,29.45,1.94017357581055,83.2571984,0,0
s7_clean,fixed_packet,15,15,5,812.5,0.692820323027551,0.692820323027551,self_stable,0.0003,0.963492483998996,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,589,38.803471516211,589,38.803471516211,589,38.803471516211,0,0,0,0,1,0,0,0,319.152740760926,12.9755154024255,1.91499638609319,4.27859626090459,317.237744374833,9.01070057644104,319.152740760926,12.9755154024255,281.900000000023,0,518.749999999943,12.2625602799437,783.349999999914,203.826591909004,281.900000000023,0,518.749999999943,12.2625602799437,783.349999999914,203.826591909004,0.0490445131393837,0.102108979996278,35.1539310554966,0.491899672212384,4.29807604988563,0.358307192833007,28.5769369634684,7.49471469350157,3.25975579284316,1.63384028697855,82.9707692079925,0.733984503047231,162.5,0,0,0,589,38.803471516211,589,38.803471516211,589,39.0412886854702,2945,194.017357581055,589,39.0412886854702,NaN,NaN,0.0957066333333333,0.00632894086304498,0.188389433333301,0.00864784665939733,0.0926827999999678,0.00576196322175944,0.0957066333333333,0.00632894086304498,0.0497320497320498,0.181519050731607,1,0,0.0027294064672762,0.00492858767820599,0.952595731926886,0.0324679956962755,734,44.783429475148,23,11.3837491007903,1.03393914869108,0.0144676374180112,890,1279.83177520349,418.3,601.831310806165,890,1279.83177520349,293.699999999701,114.880827884194,614.099999999356,303.946100990349,1,0,1,0,1,0,0.0011148303192833,0.00239837391835334,5,0,29.45,1.94017357581055,28.5434202,0,0
s7_busy,fixed_packet,15,15,5,812.5,0.5,0.5,self_stable,0.006,0.729942725678815,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,589,38.803471516211,589,38.803471516211,589,38.803471516211,0,0,0,0,1,0,0,0,1103.77423162556,57.7156470219858,11.2078923891336,9.7090368403352,1092.56633923642,52.3628687816818,1103.77423162556,57.7156470219858,788.899999999985,71.8684696028322,3003.30833333334,293.614413704747,5238.85999999994,722.51656905152,788.899999999985,71.8684696028322,3003.30833333334,293.614413704747,5238.85999999994,722.51656905152,0.093718478122043,0.0832002784054124,73.7454921600901,4.35362842996242,19.8728227385462,1.25211832726609,654.369814635987,39.1205136456514,98.584491223679,10.121656184252,82.3088630748946,0.812689814592917,162.5,0,0,0,589,38.803471516211,589,38.803471516211,588.666666666667,40.4642573805096,2945,194.017357581055,588.666666666667,40.4642573805096,NaN,NaN,0.0956344666666667,0.00651408164487717,0.650877466666635,0.072239226073058,0.555242999999968,0.066058903887768,0.0956344666666667,0.00651408164487717,0.278872278872279,0.950413198304147,1,0,0.00137393744897925,0.00156626541622318,0.952050780948496,0.0319471730531668,1532.33333333333,82.7756037114835,696.666666666667,112.373486952219,2.16898506353206,0.128047894998895,88528.2999999994,4728.44674485988,39613.8999999999,2163.84307135126,88528.2999999994,4728.44674485988,32591.7999999662,1340.27632531497,72721.8999999247,3277.1813126307,1,0,1,0,1,0,0.00169860148098791,0.000113613291473262,5,0,29.45,1.94017357581055,136.6955299,0,0
